%% logfile from robot Ella (8)
% Ella (8)
%  1    time 3.844 sec
%  2 .. 22 Edge sensor: left -2.660000 1, right -0.264723 1, values 2201 2568 2565 2290 1840 1346 1442 1207, white 1, used 1, LEDhigh=1, xb=0 xw=0 xbc=0 xwc=0 lvl=5 lvr=5       whitelevel=[2276 2639 2892 2996 2872 2671 2521 2194]       blacklevel=[0 0 0 0 0 0 19 33]
% 23 32 ctrl edge, ref=0.5, m=-0.264723, m2=-0.714212, uf=0, r2=0.5, ep=0.242842,up=0.0838589, ui=0, u1=0.0838589, u=0.0838589
3.846 -2.6600 1 -0.2807 1  2216 2565 2546 2295 1661 1317 1378 1172  1 1 1 0 0 0 0 5 5 0.5 -0.280741 -0.689967 0 0.5 0.237993 0.0854034 0 0.0854034 0.0854034 
3.848 -2.7795 1 -0.1922 1  1990 2567 2651 2300 1846 1420 1247 1181  1 1 1 0 1 0 2 5 5 0.5 -0.192207 -0.381723 0 0.5 0.176345 0.0673797 0 0.0673797 0.0673797 
3.850 -2.6600 1 -0.2474 1  2207 2566 2618 2298 1870 1506 1362 1206  1 1 1 0 0 0 0 5 5 0.5 -0.247391 -0.497564 0 0.5 0.199513 0.0777925 0 0.0777925 0.0777925 
3.852 -2.6600 1 -0.2251 1  2139 2573 2683 2297 1842 1418 1227 1057  1 1 1 0 0 0 0 5 5 0.5 -0.225145 -0.374097 0 0.5 0.174819 0.0724264 0 0.0724264 0.0724264 
3.854 -2.6600 1 -0.2670 1  2291 2568 2695 2295 1680 1420 1299 1177  1 1 1 0 0 0 0 5 5 0.5 -0.267022 -0.471749 0 0.5 0.19435 0.081167 0 0.081167 0.081167 
3.856 -2.6600 1 -0.2403 1  2366 2572 2711 2305 1703 1420 1208 1175  1 1 1 0 0 0 0 5 5 0.5 -0.240345 -0.356552 0 0.5 0.17131 0.0758745 0 0.0758745 0.0758745 
3.858 -2.6600 1 -0.2593 1  2306 2568 2653 2300 1750 1431 1327 1174  1 1 1 0 0 0 0 5 5 0.5 -0.259312 -0.391639 0 0.5 0.178328 0.0802955 0 0.0802955 0.0802955 
3.860 -2.8196 1 -0.2335 1  2118 2562 2694 2305 1701 1423 1342 1037  1 1 1 0 0 0 0 5 5 0.5 -0.233458 -0.289479 0 0.5 0.157896 0.0756173 0 0.0756173 0.0756173 
3.862 -2.6600 1 -0.2298 1  2329 2571 2565 2313 1691 1426 1229 1166  1 1 1 0 0 0 0 5 5 0.5 -0.229751 -0.269512 0 0.5 0.153902 0.0760493 0 0.0760493 0.0760493 
3.864 -2.6600 1 -0.2188 1  2288 2570 2843 2308 1671 1424 1350 1058  1 1 1 0 0 0 0 5 5 0.5 -0.218798 -0.230574 0 0.5 0.146115 0.0751281 0 0.0751281 0.0751281 
3.866 -2.6600 1 -0.1364 1  2255 2567 2748 2318 1891 1458 1304 1153  1 1 1 0 0 0 0 5 5 0.5 -0.136441 0.00274897 0 0.5 0.0994502 0.0607711 0 0.0607711 0.0607711 
3.868 -2.7800 1 -0.2348 1  2022 2573 2612 2328 1797 1434 1439 1271  1 1 1 0 0 0 0 5 5 0.5 -0.234802 -0.290987 0 0.5 0.158197 0.0818436 0 0.0818436 0.0818436 
3.870 -2.6600 1 -0.2648 1  2388 2570 2559 2332 1756 1429 1415 1164  1 1 1 0 0 0 0 5 5 0.5 -0.264804 -0.364599 0 0.5 0.17292 0.088554 0 0.088554 0.088554 
3.872 -2.6600 1 -0.2454 1  2173 2573 2628 2340 1766 1477 1296 1250  1 1 1 0 0 0 0 5 5 0.5 -0.245374 -0.284554 0 0.5 0.156911 0.085128 0 0.085128 0.085128 
3.874 -2.8046 1 -0.2285 1  2112 2566 2628 2341 1812 1438 1530 1228  1 1 1 0 0 0 0 5 5 0.5 -0.2285 -0.227542 0 0.5 0.145508 0.0828781 0 0.0828781 0.0828781 
3.876 -2.6600 1 -0.2018 1  2185 2567 2587 2342 1759 1434 1350 1266  1 1 1 0 0 0 0 5 5 0.5 -0.201825 -0.159083 0 0.5 0.131817 0.0794327 0 0.0794327 0.0794327 
3.878 -2.6600 1 -0.2226 1  2341 2571 2687 2347 1755 1441 1322 1170  1 1 1 0 0 0 0 5 5 0.5 -0.222586 -0.22644 0 0.5 0.145288 0.0851464 0 0.0851464 0.0851464 
3.880 -2.6600 1 -0.1822 1  2254 2567 2712 2353 1850 1439 1343 1167  1 1 1 0 0 0 0 5 5 0.5 -0.182174 -0.108914 0 0.5 0.121783 0.0785329 0 0.0785329 0.0785329 
3.882 -2.6600 1 -0.2354 1  2187 2571 2645 2355 1646 1442 1363 1164  1 1 1 0 0 0 0 5 5 0.5 -0.235446 -0.283051 0 0.5 0.15661 0.0910878 0 0.0910878 0.0910878 
3.884 -2.6600 1 -0.2592 1  2194 2554 2603 2326 1762 1407 1352 1153  1 1 1 0 0 0 0 5 5 0.5 -0.259151 -0.343404 0 0.5 0.168681 0.0965861 0 0.0965861 0.0965861 
3.886 -2.6600 1 -0.2421 1  2370 2570 2510 2372 1655 1446 1384 1159  1 1 1 0 0 0 0 5 5 0.5 -0.242066 -0.289402 0 0.5 0.15788 0.0942629 0 0.0942629 0.0942629 
3.888 -2.6600 1 -0.1433 1  2218 2574 2764 2384 1890 1452 1318 1191  1 1 1 0 0 0 0 5 5 0.5 -0.143289 0.00245017 0 0.5 0.09951 0.0758968 0 0.0758968 0.0758968 
3.890 -2.6600 1 -0.2044 1  2148 2572 2695 2390 1737 1454 1453 1172  1 1 1 0 0 0 0 5 5 0.5 -0.204419 -0.200055 0 0.5 0.140011 0.0901208 0 0.0901208 0.0901208 
3.892 -2.7657 1 -0.1812 1  2004 2579 2619 2396 1839 1453 1583 1239  1 1 1 0 1 0 1 5 5 0.5 -0.18117 -0.141352 0 0.5 0.12827 0.0870726 0 0.0870726 0.0870726 
3.894 -2.6600 1 -0.1217 1  2273 2585 2688 2409 1944 1457 1603 1185  1 1 1 0 1 0 1 5 5 0.5 -0.121713 0.0290534 0 0.5 0.0941893 0.0766131 0 0.0766131 0.0766131 
3.896 -2.6600 1 -0.1390 1  2271 2581 2587 2414 1850 1457 1309 1172  1 1 1 0 0 0 0 5 5 0.5 -0.138962 -0.0452066 0 0.5 0.109041 0.0821007 0 0.0821007 0.0821007 
3.898 -2.6600 1 0.1420 1  2245 2598 2681 2418 2078 1461 1312 1169  1 1 1 0 1 0 2 5 5 0.5 0.142001 0.751326 0 0.5 -0.0502651 0.0289562 0 0.0289562 0.0289562 
3.900 -2.6600 1 -0.1241 1  2207 2593 2709 2429 1825 1465 1324 1171  1 1 1 0 0 0 0 5 5 0.5 -0.124121 -0.0879482 0 0.5 0.11759 0.0849088 0 0.0849088 0.0849088 
3.902 -2.6600 1 -0.0823 1  2328 2594 2891 2444 1876 1469 1302 1180  1 1 1 0 0 0 0 5 5 0.5 -0.0823457 0.0212451 0 0.5 0.095751 0.0781409 0 0.0781409 0.0781409 
3.904 -2.6600 1 -0.0716 1  2267 2594 2847 2447 1901 1462 1340 1205  1 1 1 0 0 0 0 5 5 0.5 -0.0716256 0.027418 0 0.5 0.0945164 0.0779814 0 0.0779814 0.0779814 
3.906 -2.7070 1 -0.0838 1  1847 2594 2648 2461 1916 1472 1623 1263  1 1 1 0 0 0 0 5 5 0.5 -0.0838244 -0.024073 0 0.5 0.104815 0.0818742 0 0.0818742 0.0818742 
3.908 -2.6600 1 -0.0955 1  2413 2597 2594 2464 1849 1478 1332 1073  1 1 1 0 0 0 0 5 5 0.5 -0.0955204 -0.0726683 0 0.5 0.114534 0.0855734 0 0.0855734 0.0855734 
3.910 -2.6600 1 -0.0765 1  2226 2596 2660 2471 1915 1478 1493 1271  1 1 1 0 0 0 0 5 5 0.5 -0.0764607 -0.0429341 0 0.5 0.108587 0.0837049 0 0.0837049 0.0837049 
3.912 -2.6600 1 -0.0589 1  2318 2596 2775 2478 1901 1480 1313 1182  1 1 1 0 0 0 0 5 5 0.5 -0.0589186 0.00217062 0 0.5 0.0995659 0.0812216 0 0.0812216 0.0812216 
3.914 -2.6600 1 0.0007 1  2245 2602 2636 2487 1971 1483 1390 1179  1 1 1 0 1 0 1 5 5 0.5 0.000740557 0.169457 0 0.5 0.0661087 0.0704766 0 0.0704766 0.0704766 
3.916 -2.7923 1 -0.0135 1  2098 2597 2739 2494 1967 1482 1474 1176  1 1 1 0 1 0 1 5 5 0.5 -0.0135348 0.123136 0 0.5 0.0753727 0.0741305 0 0.0741305 0.0741305 
3.918 -2.8051 1 -0.0356 1  2138 2598 2744 2498 1927 1485 1392 1176  1 1 1 0 1 0 1 5 5 0.5 -0.0355619 0.0501582 0 0.5 0.0899684 0.0794665 0 0.0794665 0.0794665 
3.920 -2.6600 1 -0.0574 1  2410 2597 2729 2507 1868 1487 1328 1175  1 1 1 0 0 0 0 5 5 0.5 -0.0574047 -0.053006 0 0.5 0.110601 0.0860959 0 0.0860959 0.0860959 
3.922 -2.6600 1 -0.0442 1  2216 2603 2530 2518 1867 1491 1395 1177  1 1 1 0 0 0 0 5 5 0.5 -0.0442018 -0.0115624 0 0.5 0.102312 0.0839329 0 0.0839329 0.0839329 
3.924 -2.6600 1 0.0471 1  2237 2590 2744 2561 1905 1489 1268 1080  1 1 1 0 0 0 0 5 5 0.5 0.0470606 0.159457 0 0.5 0.0681086 0.0707459 0 0.0707459 0.0707459 
3.926 -2.6600 1 0.1789 1  2215 2582 2665 2531 2062 1501 1350 1182  1 1 1 0 1 0 1 5 5 0.5 0.178918 0.524989 0 0.5 -0.00499775 0.0461338 0 0.0461338 0.0461338 
3.928 -2.6600 1 0.0754 1  2310 2601 2720 2545 1979 1405 1364 1181  1 1 1 0 0 0 0 5 5 0.5 0.0754475 0.173759 0 0.5 0.0652481 0.0690164 0 0.0690164 0.0690164 
3.930 -2.6600 1 0.0555 1  2226 2587 2750 2434 2043 1533 1361 1266  1 1 1 0 0 0 0 5 5 0.5 0.0554753 0.0303035 0 0.5 0.0939393 0.0770306 0 0.0770306 0.0770306 
3.932 -2.7951 1 0.1616 1  2080 2601 2777 2580 2031 1520 1320 1240  1 1 1 0 0 0 0 5 5 0.5 0.161569 0.268049 0 0.5 0.0463901 0.0596143 0 0.0596143 0.0596143 
3.934 -2.6600 1 0.2687 1  2223 2593 2803 2566 2103 1494 1316 1181  1 1 1 0 1 0 1 5 5 0.5 0.268694 0.562473 0 0.5 -0.0124946 0.0395536 0 0.0395536 0.0395536 
3.936 -2.6600 1 0.0393 1  2369 2589 2694 2554 1949 1417 1460 1204  1 1 1 0 0 0 0 5 5 0.5 0.0393178 -0.111927 0 0.5 0.122386 0.0849674 0 0.0849674 0.0849674 
3.938 -2.6600 1 0.0306 1  2277 2593 2882 2579 1895 1518 1301 1215  1 1 1 0 0 0 0 5 5 0.5 0.0305765 -0.119017 0 0.5 0.123803 0.0860322 0 0.0860322 0.0860322 
3.940 -2.7999 1 0.1136 1  2088 2599 2776 2590 1970 1525 1387 1184  1 1 1 0 0 0 0 5 5 0.5 0.113622 0.131409 0 0.5 0.0737182 0.069541 0 0.069541 0.069541 
3.942 -2.6600 1 0.2411 1  2152 2591 2743 2592 2063 1528 1261 1170  1 1 1 0 1 0 1 5 5 0.5 0.241106 0.504867 0 0.5 -0.000973451 0.0446126 0 0.0446126 0.0446126 
3.944 -2.6600 1 0.2719 1  2251 2583 2794 2610 2096 1533 1373 1180  1 1 1 0 0 0 0 5 5 0.5 0.271936 0.561932 0 0.5 -0.0123865 0.0401615 0 0.0401615 0.0401615 
3.946 -2.6600 1 0.1288 1  2347 2594 2830 2615 1991 1531 1389 1173  1 1 1 0 0 0 0 5 5 0.5 0.128781 0.127782 0 0.5 0.0744436 0.0691147 0 0.0691147 0.0691147 
3.948 -2.6600 1 0.3229 1  2198 2591 2678 2624 2139 1539 1554 1183  1 1 1 0 1 0 1 5 5 0.5 0.32293 0.702791 0 0.5 -0.0405583 0.0307291 0 0.0307291 0.0307291 
3.950 -2.6600 1 0.1244 1  2295 2595 2712 2628 2002 1547 1403 1182  1 1 1 0 0 0 0 5 5 0.5 0.124436 0.0881611 0 0.5 0.0823678 0.0713675 0 0.0713675 0.0713675 
3.952 -2.6600 1 0.1710 1  2382 2591 2593 2640 2061 1554 1472 1190  1 1 1 0 1 0 1 5 5 0.5 0.170993 0.247659 0 0.5 0.0504681 0.0612683 0 0.0612683 0.0612683 
3.954 -2.6600 1 0.1246 1  2263 2594 2855 2649 1991 1567 1295 1194  1 1 1 0 0 0 1 5 5 0.5 0.124581 0.0778737 0 0.5 0.0844253 0.0719916 0 0.0719916 0.0719916 
3.956 -2.6600 1 0.4983 1  2188 2598 2813 2656 2239 1569 1216 1195  1 1 1 0 1 0 3 5 5 0.5 0.498299 1.1459 0 0.5 -0.129181 -0.000340538 0 -0.000340538 -0.000340538 
3.958 -2.6600 1 0.1724 1  2363 2600 2833 2669 2045 1578 1370 1208  1 1 1 0 0 0 1 5 5 0.5 0.172419 0.136657 0 0.5 0.0726686 0.0662314 0 0.0662314 0.0662314 
3.960 -2.8068 1 0.1741 1  2152 2598 2785 2673 2053 1590 1509 1212  1 1 1 0 1 0 1 5 5 0.5 0.174084 0.136533 0 0.5 0.0726933 0.0661076 0 0.0661076 0.0661076 
