%% logfile from robot Ella (8)
% Ella (8)
%  1    time 4.000 sec
%  2 .. 22 Edge sensor: left -2.660000 1, right 0.685029 1, values 2147 2711 2827 2939 2381 1685 1311 1101, white 1, used 1, LEDhigh=1, xb=0 xw=0 xbc=0 xwc=0 lvl=5 lvr=5       whitelevel=[2276 2639 2892 2996 2872 2671 2521 2194]       blacklevel=[0 0 0 0 0 0 19 33]
% 23 32 ctrl edge, ref=0.5, m=0.685029, m2=1.68664, uf=0, r2=0.5, ep=-0.237328,up=-0.0841262, ui=0, u1=-0.0841262, u=-0.0841262
4.002 -2.6600 1 0.8199 1  2144 2644 2829 2836 2389 1848 1440 1168  1 1 1 0 1 0 1 5 5 0.5 0.819878 1.79505 0 0.5 -0.259011 -0.0964853 0 -0.0964853 -0.0964853 
4.004 -2.6600 1 0.8552 1  2143 2628 2829 2919 2389 1834 1438 1085  1 1 1 0 1 0 1 5 5 0.5 0.855166 1.68234 0 0.5 -0.236468 -0.0930239 0 -0.0930239 -0.0930239 
4.006 -2.6600 1 0.8793 1  2142 2594 2830 2872 2386 1825 1434 1113  1 1 1 0 1 0 1 5 5 0.5 0.879262 1.56863 0 0.5 -0.213725 -0.0890997 0 -0.0890997 -0.0890997 
4.008 -2.6600 1 0.7854 1  2150 2575 2833 2801 2395 1800 1443 1215  1 1 1 0 0 0 0 5 5 0.5 0.78539 1.15173 0 0.5 -0.130346 -0.064441 0 -0.064441 -0.064441 
4.010 -2.6600 1 0.7317 1  2139 2584 2826 3135 2380 1762 1440 1211  1 1 1 0 0 0 0 5 5 0.5 0.731739 0.927189 0 0.5 -0.0854378 -0.0509346 0 -0.0509346 -0.0509346 
4.012 -2.6600 1 0.8376 1  2137 2666 2826 3091 2387 1754 1445 910  1 1 1 0 1 0 2 5 5 0.5 0.837598 1.15569 0 0.5 -0.131138 -0.0678095 0 -0.0678095 -0.0678095 
4.014 -2.6600 1 0.6435 1  2131 2693 2821 2832 2388 1535 1450 1172  1 1 1 0 0 0 0 5 5 0.5 0.643483 0.585158 0 0.5 -0.0170317 -0.0301151 0 -0.0301151 -0.0301151 
4.016 -2.6600 1 0.7949 1  2132 2430 2818 2749 2379 1748 1447 1003  1 1 1 0 0 0 0 5 5 0.5 0.794919 0.983732 0 0.5 -0.0967463 -0.057486 0 -0.057486 -0.057486 
4.018 -2.6600 1 0.7596 1  2138 2525 2817 2764 2384 1747 1456 1320  1 1 1 0 0 0 0 5 5 0.5 0.759625 0.816453 0 0.5 -0.0632907 -0.0479974 0 -0.0479974 -0.0479974 
4.020 -2.6600 1 0.6776 1  2139 2576 2820 2890 2382 1656 1461 1210  1 1 1 0 1 0 1 5 5 0.5 0.677597 0.610185 0 0.5 -0.0220369 -0.0336743 0 -0.0336743 -0.0336743 
4.022 -2.6600 1 0.6345 1  2132 2763 2814 2742 2381 1606 1456 1243  1 1 1 0 0 0 1 5 5 0.5 0.634541 0.48188 0 0.5 0.00362391 -0.0253256 0 -0.0253256 -0.0253256 
4.024 -2.6600 1 0.8085 1  2131 2532 2818 2666 2383 1810 1458 1232  1 1 1 0 0 0 1 5 5 0.5 0.808501 0.966148 0 0.5 -0.0932295 -0.0579944 0 -0.0579944 -0.0579944 
4.026 -2.6600 1 0.7702 1  2135 2621 2819 2910 2383 1766 1460 1123  1 1 1 0 0 0 0 5 5 0.5 0.770214 0.828299 0 0.5 -0.0656597 -0.0496056 0 -0.0496056 -0.0496056 
4.028 -2.6600 1 0.6297 1  2152 2586 2813 2857 2380 1619 1463 1262  1 1 1 0 0 0 0 5 5 0.5 0.629741 0.418204 0 0.5 0.0163591 -0.0226254 0 -0.0226254 -0.0226254 
4.030 -2.6600 1 0.7410 1  2141 2378 2816 2810 2374 1834 1466 1259  1 1 1 0 0 0 0 5 5 0.5 0.741048 0.741511 0 0.5 -0.0483022 -0.044187 0 -0.044187 -0.044187 
4.032 -2.6600 1 0.6234 1  2144 2726 2821 2737 2377 1644 1469 1228  1 1 1 0 0 0 0 5 5 0.5 0.623413 0.475569 0 0.5 0.00488617 -0.0248593 0 -0.0248593 -0.0248593 
4.034 -2.6600 1 0.8068 1  2145 2576 2814 2785 2375 1868 1473 1307  1 1 1 0 0 0 0 5 5 0.5 0.806787 0.967048 0 0.5 -0.0934096 -0.058437 0 -0.058437 -0.058437 
4.036 -2.6600 1 0.9577 1  2140 2529 2819 2729 2370 1908 1471 1043  1 1 1 0 1 0 1 5 5 0.5 0.957736 1.35829 0 0.5 -0.171658 -0.0855717 0 -0.0855717 -0.0855717 
4.038 -2.6600 1 0.7195 1  2142 2571 2815 2859 2369 1734 1478 1211  1 1 1 0 0 0 0 5 5 0.5 0.719541 0.648681 0 0.5 -0.0297363 -0.0391243 0 -0.0391243 -0.0391243 
4.040 -2.6600 1 0.6435 1  2150 2573 2811 2853 2369 1668 1477 1310  1 1 1 0 0 0 0 5 5 0.5 0.643547 0.445387 0 0.5 0.0109226 -0.0254018 0 -0.0254018 -0.0254018 
4.042 -2.6600 1 0.8440 1  2144 2431 2818 2798 2374 1914 1476 1349  1 1 1 0 1 0 2 5 5 0.5 0.844041 1.0286 0 0.5 -0.105719 -0.0641572 0 -0.0641572 -0.0641572 
4.044 -2.6600 1 1.1113 1  2143 2593 2812 2844 2368 2027 1483 1209  1 1 1 0 1 0 2 5 5 0.5 0.5 0.0706401 0 0.5 0.085872 0.00018642 0 0.00018642 0.00018642 
4.046 -2.6600 1 0.9846 1  2146 2618 2809 2989 2361 1938 1481 1094  1 1 1 0 1 0 2 5 5 0.5 0.5 0.118179 0 0.5 0.0763642 -0.00188467 0 -0.00188467 -0.00188467 
4.048 -2.6600 1 0.6622 1  2146 2548 2807 2839 2362 1748 1482 1408  1 1 1 0 0 0 0 5 5 0.5 0.662175 0.615396 0 0.5 -0.0230792 -0.0341885 0 -0.0341885 -0.0341885 
4.050 -2.6600 1 0.6544 1  2145 2793 2815 2864 2362 1756 1486 1230  1 1 1 0 0 0 0 5 5 0.5 0.654387 0.609984 0 0.5 -0.0219968 -0.0333617 0 -0.0333617 -0.0333617 
4.052 -2.6600 1 0.9453 1  2160 2457 2814 2819 2364 1956 1492 1224  1 1 1 0 1 0 2 5 5 0.5 0.945284 1.39007 0 0.5 -0.178014 -0.0865416 0 -0.0865416 -0.0865416 
4.054 -2.6600 1 0.7146 1  2145 2514 2809 2803 2363 1823 1492 1245  1 1 1 0 0 0 0 5 5 0.5 0.714633 0.704239 0 0.5 -0.0408478 -0.0415032 0 -0.0415032 -0.0415032 
4.056 -2.6600 1 0.7170 1  2153 2633 2806 2802 2367 1847 1495 1267  1 1 1 0 0 0 0 5 5 0.5 0.717006 0.705601 0 0.5 -0.0411202 -0.0417763 0 -0.0417763 -0.0417763 
4.058 -2.6600 1 0.6480 1  2139 2730 2804 2806 2361 1807 1497 1340  1 1 1 0 0 0 0 5 5 0.5 0.647959 0.521857 0 0.5 -0.0043714 -0.0292506 0 -0.0292506 -0.0292506 
4.060 -2.6600 1 0.6315 1  2138 2501 2797 2903 2346 1739 1497 1243  1 1 1 0 0 0 0 5 5 0.5 0.631511 0.503748 0 0.5 -0.000749588 -0.0273618 0 -0.0273618 -0.0273618 
4.062 -2.6600 1 0.7625 1  2150 2602 2804 2799 2359 1866 1500 1347  1 1 1 0 0 0 0 5 5 0.5 0.762495 0.862986 0 0.5 -0.0725972 -0.0516621 0 -0.0516621 -0.0516621 
4.064 -2.6600 1 0.7754 1  2142 2601 2801 2791 2358 1905 1506 1277  1 1 1 0 1 0 1 5 5 0.5 0.775397 0.894314 0 0.5 -0.0788628 -0.0538975 0 -0.0538975 -0.0538975 
4.066 -2.6600 1 0.7022 1  2155 2539 2801 2649 2357 1849 1508 1248  1 1 1 0 1 0 1 5 5 0.5 0.702176 0.69507 0 0.5 -0.039014 -0.0403907 0 -0.0403907 -0.0403907 
4.068 -2.6600 1 0.6983 1  2139 2654 2803 2803 2357 1878 1513 1318  1 1 1 0 0 0 1 5 5 0.5 0.698264 0.666386 0 0.5 -0.0332772 -0.0389145 0 -0.0389145 -0.0389145 
4.070 -2.6600 1 0.7149 1  2154 2617 2808 2865 2365 1848 1515 1203  1 1 1 0 1 0 1 5 5 0.5 0.714919 0.741033 0 0.5 -0.0482066 -0.04325 0 -0.04325 -0.04325 
4.072 -2.6600 1 0.5511 1  2149 2689 2812 2749 2369 1566 1518 1325  1 1 1 0 0 0 0 5 5 0.5 0.551082 0.298201 0 0.5 0.0403598 -0.0130978 0 -0.0130978 -0.0130978 
4.074 -2.6600 1 0.7304 1  2144 2522 2808 2907 2355 1852 1510 1144  1 1 1 0 1 0 2 5 5 0.5 0.730434 0.834046 0 0.5 -0.0668092 -0.0481801 0 -0.0481801 -0.0481801 
4.076 -2.6600 1 0.6685 1  2135 2570 2789 2694 2361 1849 1538 1495  1 1 1 0 1 0 2 5 5 0.5 0.668463 0.669824 0 0.5 -0.0339649 -0.0368315 0 -0.0368315 -0.0368315 
4.078 -2.6600 1 0.7807 1  2131 2436 2820 2813 2388 1930 1554 1493  1 1 1 0 1 0 2 5 5 0.5 0.780724 0.991003 0 0.5 -0.0982006 -0.0581237 0 -0.0581237 -0.0581237 
4.080 -2.6600 1 1.0569 1  2151 2499 2813 2883 2369 2022 1545 1263  1 1 1 0 1 0 2 5 5 0.5 0.5 0.195671 0 0.5 0.0608658 -0.00484921 0 -0.00484921 -0.00484921 
4.082 -2.6600 1 0.6105 1  2149 2677 2813 2611 2372 1764 1554 1410  1 1 1 0 0 0 0 5 5 0.5 0.610517 0.512963 0 0.5 -0.00259254 -0.0258506 0 -0.0258506 -0.0258506 
4.084 -2.6600 1 0.6590 1  2145 2722 2808 2807 2370 1853 1562 1402  1 1 1 0 0 0 0 5 5 0.5 0.658982 0.654103 0 0.5 -0.0308206 -0.0350849 0 -0.0350849 -0.0350849 
4.086 -2.6600 1 0.6681 1  2147 2635 2813 2827 2376 1876 1565 1322  1 1 1 0 0 0 0 5 5 0.5 0.668114 0.673396 0 0.5 -0.0346793 -0.0364319 0 -0.0364319 -0.0364319 
4.088 -2.6600 1 0.6298 1  2144 2700 2813 2817 2380 1870 1579 1406  1 1 1 0 0 0 0 5 5 0.5 0.62982 0.572147 0 0.5 -0.0144294 -0.029389 0 -0.029389 -0.029389 
4.090 -2.6600 1 0.6643 1  2139 2470 2799 2747 2370 1920 1580 1577  1 1 1 0 0 0 0 5 5 0.5 0.664273 0.67673 0 0.5 -0.0353459 -0.0361046 0 -0.0361046 -0.0361046 
4.092 -2.6600 1 0.6049 1  2155 2695 2818 2790 2378 1805 1598 1391  1 1 1 0 0 0 0 5 5 0.5 0.604948 0.521117 0 0.5 -0.00422342 -0.0252813 0 -0.0252813 -0.0252813 
4.094 -2.6600 1 0.8799 1  2144 2538 2802 2803 2377 2000 1602 1271  1 1 1 0 1 0 1 5 5 0.5 0.879929 1.28406 0 0.5 -0.156812 -0.0765654 0 -0.0765654 -0.0765654 
4.096 -2.6600 1 0.6264 1  2141 2396 2812 2751 2378 1872 1608 1471  1 1 1 0 0 0 0 5 5 0.5 0.626362 0.537447 0 0.5 -0.00748942 -0.0272652 0 -0.0272652 -0.0272652 
4.098 -2.6600 1 0.6472 1  2151 2619 2811 2732 2387 1894 1621 1390  1 1 1 0 0 0 0 5 5 0.5 0.647155 0.603916 0 0.5 -0.0207831 -0.0314703 0 -0.0314703 -0.0314703 
4.100 -2.6600 1 0.6370 1  2142 2440 2810 2873 2392 1930 1632 1425  1 1 1 0 1 0 1 5 5 0.5 0.636976 0.605751 0 0.5 -0.0211503 -0.0307684 0 -0.0307684 -0.0307684 
4.102 -2.6600 1 0.7048 1  2150 2572 2811 3075 2392 1900 1644 1173  1 1 1 0 1 0 1 5 5 0.5 0.704775 0.796249 0 0.5 -0.0592497 -0.0434389 0 -0.0434389 -0.0434389 
4.104 -2.6600 1 0.5893 1  2153 2405 2818 2688 2405 1818 1658 1600  1 1 1 0 0 0 0 5 5 0.5 0.589311 0.455593 0 0.5 0.00888145 -0.020904 0 -0.020904 -0.020904 
4.106 -2.6600 1 0.6441 1  2151 2242 2816 2706 2403 1959 1662 1699  1 1 1 0 0 0 0 5 5 0.5 0.644073 0.616338 0 0.5 -0.0232676 -0.0314343 0 -0.0314343 -0.0314343 
4.108 -2.6600 1 0.6586 1  2152 2629 2816 2740 2407 1933 1678 1320  1 1 1 0 1 0 1 5 5 0.5 0.658628 0.690396 0 0.5 -0.0380793 -0.0354858 0 -0.0354858 -0.0354858 
4.110 -2.6600 1 0.7405 1  2145 2476 2814 2789 2409 2008 1686 1449  1 1 1 0 1 0 1 5 5 0.5 0.740501 0.934305 0 0.5 -0.086861 -0.0513664 0 -0.0513664 -0.0513664 
4.112 -2.6600 1 0.6768 1  2157 2581 2825 2797 2420 1969 1701 1433  1 1 1 0 0 0 1 5 5 0.5 0.676802 0.696131 0 0.5 -0.0392262 -0.036742 0 -0.036742 -0.036742 
4.114 -2.6600 1 0.6122 1  2161 2784 2826 2832 2416 1930 1718 1394  1 1 1 0 0 0 0 5 5 0.5 0.61222 0.519426 0 0.5 -0.00388513 -0.0247231 0 -0.0247231 -0.0247231 
4.116 -2.6600 1 0.7835 1  2163 2570 2818 2937 2419 2017 1725 1258  1 1 1 0 1 0 2 5 5 0.5 0.783489 0.985877 0 0.5 -0.0971754 -0.0563183 0 -0.0563183 -0.0563183 
4.118 -2.6600 1 0.6258 1  2162 2626 2830 2905 2431 1908 1732 1431  1 1 1 0 0 0 0 5 5 0.5 0.625815 0.526763 0 0.5 -0.00535255 -0.0259105 0 -0.0259105 -0.0259105 
4.120 -2.6600 1 0.6897 1  2158 2406 2818 2814 2427 2053 1748 1544  1 1 1 0 1 0 1 5 5 0.5 0.689685 0.746342 0 0.5 -0.0492684 -0.0396199 0 -0.0396199 -0.0396199 
4.122 -2.6600 1 0.5289 1  2158 2535 2821 2827 2433 1876 1764 1521  1 1 1 0 0 0 0 5 5 0.5 0.528904 0.329602 0 0.5 0.0340795 -0.0107259 0 -0.0107259 -0.0107259 
4.124 -2.6600 1 1.1863 1  2158 2568 2830 2880 2449 2183 1778 1415  1 1 1 0 0 0 0 5 5 0.5 0.5 0.306881 0 0.5 0.0386237 -0.0076026 0 -0.0076026 -0.0076026 
4.126 -2.6600 1 0.6893 1  2164 2605 2828 2899 2445 2022 1789 1489  1 1 1 0 0 0 0 5 5 0.5 0.68931 0.872392 0 0.5 -0.0744785 -0.0444672 0 -0.0444672 -0.0444672 
4.128 -2.6600 1 0.6637 1  2167 2441 2839 2884 2459 1941 1809 1342  1 1 1 0 0 0 0 5 5 0.5 0.663699 0.739672 0 0.5 -0.0479344 -0.0368469 0 -0.0368469 -0.0368469 
4.130 -2.6600 1 0.6595 1  2168 2568 2828 2772 2468 2016 1826 1581  1 1 1 0 0 0 0 5 5 0.5 0.659534 0.68994 0 0.5 -0.0379879 -0.0343204 0 -0.0343204 -0.0343204 
4.132 -2.6600 1 0.8353 1  2163 2585 2835 2848 2474 2147 1842 1644  1 1 1 0 0 0 0 5 5 0.5 0.835286 1.19963 0 0.5 -0.139926 -0.0680197 0 -0.0680197 -0.0680197 
4.134 -2.6600 1 0.9440 1  2172 2531 2835 2869 2486 2164 1863 1441  1 1 1 0 1 0 1 5 5 0.5 0.943989 1.44908 0 0.5 -0.189816 -0.0860642 0 -0.0860642 -0.0860642 
4.136 -2.6600 1 0.7252 1  2159 2795 2826 2893 2493 2113 1868 1562  1 1 1 0 0 0 1 5 5 0.5 0.725155 0.827833 0 0.5 -0.0655666 -0.0445648 0 -0.0445648 -0.0445648 
4.138 -2.6600 1 0.6810 1  2162 2664 2834 2856 2505 2112 1893 1597  1 1 1 0 0 0 0 5 5 0.5 0.680975 0.695471 0 0.5 -0.0390941 -0.0358928 0 -0.0358928 -0.0358928 
4.140 -2.6600 1 0.6983 1  2157 2406 2823 2733 2515 2099 1908 1795  1 1 1 0 1 0 1 5 5 0.5 0.698348 0.764266 0 0.5 -0.0528533 -0.0400116 0 -0.0400116 -0.0400116 
4.142 -2.6600 1 0.6311 1  2164 2654 2828 2843 2520 2030 1929 1680  1 1 1 0 0 0 1 5 5 0.5 0.631129 0.545506 0 0.5 -0.00910125 -0.0260697 0 -0.0260697 -0.0260697 
4.144 -2.6600 1 0.6643 1  2166 2594 2830 2877 2536 2040 1950 1651  1 1 1 0 0 0 0 5 5 0.5 0.664337 0.655656 0 0.5 -0.0311312 -0.0330529 0 -0.0330529 -0.0330529 
4.146 -2.6600 1 0.7271 1  2160 2419 2825 2820 2538 2097 1968 1636  1 1 1 0 1 0 1 5 5 0.5 0.727124 0.839512 0 0.5 -0.0679024 -0.0451916 0 -0.0451916 -0.0451916 
4.148 -2.6600 1 1.3847 1  2169 2568 2831 3062 2551 2306 1996 1866  1 1 1 0 1 0 3 5 5 0.5 0.5 0.243225 0 0.5 0.051355 -0.00413703 0 -0.00413703 -0.00413703 
4.150 -2.6600 1 0.8352 1  2157 2576 2831 2835 2561 2147 2016 1657  1 1 1 0 0 0 1 5 5 0.5 0.835165 1.14356 0 0.5 -0.128711 -0.0654668 0 -0.0654668 -0.0654668 
