%% logfile from robot Karla (10)
% Karla (10)
%  1    time 2.001 sec
%  2  3 Wheel velocity [m/s] left, right: -0.0627 -0.0454
%  4  5  6  7 Pose x,y,h,tilt [m,m,rad,rad]: -0.000608645 -0.000549157 0.00259112 -0.0153037
%  8 .. 28 Edge sensor: left 1.433686 0, right 4.180000 0, values 519 738 796 812 828 761 733 630, white 1, used 1, LEDhigh=0, xb=0 xw=0 xbc=0 xwc=0 lvl=20 lvr=0       whitelevel=[884 1280 1410 1427 1392 1268 1229 999]       blacklevel=[119 163 174 182 180 171 150 124]
%  8  9 Get data time [us]: 100 +ctrl 460
2.004 -0.0823 -0.0454 -0.0008 -0.0005 0.005182 -0.014387 1.4337 0 4.1800 0  519 731 803 814 800 758 770 632  1 1 0 0 0 0 0 20 0 100 460 
2.007 -0.0719 -0.0494 -0.0010 -0.0006 0.002591 -0.013158 1.4337 0 4.1800 0  515 721 800 817 801 761 787 631  1 1 0 0 0 0 0 20 0 100 460 
2.010 -0.0466 -0.0494 -0.0010 -0.0006 0.002591 -0.011974 1.4337 0 4.1800 0  517 698 817 818 793 759 786 650  1 1 0 0 0 0 0 20 0 100 460 
2.013 -0.0442 -0.0494 -0.0012 -0.0006 0.005182 -0.011172 1.4337 0 4.1800 0  519 719 814 812 812 762 786 618  1 1 0 0 0 0 0 20 0 100 460 
2.016 -0.0442 -0.0530 -0.0014 -0.0006 0.002591 -0.010603 1.4337 0 4.1800 0  521 767 805 818 804 761 771 662  1 1 0 0 0 0 0 20 0 100 460 
2.019 -0.0606 -0.0530 -0.0016 -0.0006 0.005182 -0.009880 1.4337 0 4.1800 0  517 702 808 825 817 761 775 634  1 1 0 0 0 0 0 20 0 100 450 
2.022 -0.0606 -0.0490 -0.0016 -0.0006 0.005182 -0.009163 1.4337 0 4.1800 0  521 707 812 821 821 762 779 636  1 1 0 0 0 0 0 20 0 100 440 
2.025 -0.0751 -0.0442 -0.0020 -0.0006 0.005182 -0.008344 1.4337 0 4.1800 0  521 709 818 819 781 768 782 610  1 1 0 0 0 0 0 20 0 100 460 
2.028 -0.0715 -0.0442 -0.0020 -0.0006 0.005182 -0.006932 1.4337 0 4.1800 0  527 749 822 824 830 766 779 635  1 1 0 0 0 0 0 20 0 100 460 
2.031 -0.0610 -0.0590 -0.0024 -0.0006 0.005182 -0.005078 1.4337 0 4.1800 0  531 741 813 828 818 768 784 642  1 1 0 0 0 0 0 20 0 100 460 
2.034 -0.0610 -0.0590 -0.0024 -0.0006 0.005182 -0.003545 1.4337 0 4.1800 0  526 735 820 832 814 775 787 634  1 1 0 0 0 0 0 20 0 100 450 
2.037 -0.0498 -0.0546 -0.0024 -0.0006 0.005182 -0.002504 1.4337 0 4.1800 0  529 737 824 835 815 772 790 637  1 1 0 0 0 0 0 20 0 100 450 
2.040 -0.0361 -0.0386 -0.0024 -0.0006 0.005182 -0.001277 1.4337 0 4.1800 0  532 784 829 836 804 776 791 626  1 1 0 0 0 0 0 20 0 100 450 
2.043 -0.0285 -0.0325 -0.0026 -0.0006 0.002591 -0.000047 1.4337 0 4.1800 0  538 764 823 839 798 780 792 640  1 1 0 0 0 0 0 20 0 100 450 
