%% logfile from robot Karla (10)
% Karla (10)
%  1    time 2.003 sec
%  2  3 Wheel velocity [m/s] left, right: 0.0157 0.0149
%  4  5  6  7 Pose x,y,h,tilt [m,m,rad,rad]: -0.00542184 -8.29923e-05 0.00259112 -0.0102989
%  8 .. 28 Edge sensor: left -1.322261 0, right 2.010937 0, values 577 821 932 937 896 817 761 603, white 1, used 1, LEDhigh=0, xb=0 xw=0 xbc=0 xwc=0 lvl=0 lvr=0       whitelevel=[884 1280 1410 1427 1392 1268 1229 999]       blacklevel=[119 163 174 182 180 171 150 124]
%  8  9 Get data time [us]: 100 +ctrl 450
2.006 0.0137 0.0133 -0.0054 -0.0001 0.002591 -0.010785 -1.3223 0 2.0109 0  576 810 933 940 926 814 763 624  1 1 0 0 0 0 0 0 0 100 450 
2.009 0.0125 0.0125 -0.0052 -0.0001 0.005182 -0.010956 -1.3223 0 2.0109 0  578 816 930 940 912 818 768 628  1 1 0 0 0 0 0 0 0 100 460 
2.012 0.0120 0.0125 -0.0050 -0.0001 0.002591 -0.010870 -1.3223 0 2.0109 0  573 806 930 935 909 820 758 617  1 1 0 0 0 0 0 0 0 100 450 
2.015 0.0120 0.0125 -0.0050 -0.0001 0.002591 -0.010723 -1.3223 0 2.0109 0  579 811 932 943 937 817 758 652  1 1 0 0 0 0 0 0 0 100 450 
2.018 0.0586 0.0510 -0.0046 -0.0001 0.002591 -0.010358 -1.3223 0 2.0109 0  580 848 932 940 943 819 783 632  1 1 0 0 0 0 0 0 0 100 460 
2.021 0.0586 0.0831 -0.0044 -0.0001 0.005182 -0.009785 -1.3223 0 2.0109 0  572 843 931 944 906 822 768 585  1 1 0 0 0 0 0 0 0 100 470 
2.024 0.0928 0.0831 -0.0042 -0.0001 0.002591 -0.009359 -1.3223 0 2.0109 0  576 856 929 942 910 822 771 579  1 1 0 0 0 0 0 0 0 100 450 
2.027 0.0711 0.0659 -0.0042 -0.0001 0.002591 -0.009628 -1.3223 0 2.0109 0  574 823 931 940 912 817 768 620  1 1 0 0 0 0 0 0 0 100 450 
2.030 0.0462 0.0442 -0.0042 -0.0001 0.002591 -0.010671 -1.3223 0 2.0109 0  572 823 925 938 915 818 766 609  1 1 0 0 0 0 0 0 0 100 450 
2.033 0.0341 0.0329 -0.0042 -0.0001 0.002591 -0.011958 -1.3223 0 2.0109 0  572 820 920 935 919 814 762 610  1 1 0 0 0 0 0 0 0 100 450 
2.036 0.0273 0.0265 -0.0042 -0.0001 0.002591 -0.013274 -1.3223 0 2.0109 0  572 814 920 931 908 812 757 610  1 1 0 0 0 0 0 0 0 100 460 
2.039 0.0225 0.0221 -0.0042 -0.0001 0.002591 -0.014432 -1.3223 0 2.0109 0  566 817 920 929 906 812 760 605  1 1 0 0 0 0 0 0 0 100 450 
2.042 0.0193 0.0189 -0.0042 -0.0001 0.002591 -0.015028 -1.3223 0 2.0109 0  568 808 917 927 905 804 762 606  1 1 0 0 0 0 0 0 0 100 450 
2.045 0.0169 0.0165 -0.0042 -0.0001 0.002591 -0.015466 -1.3223 0 2.0109 0  566 819 917 924 905 808 761 604  1 1 0 0 0 0 0 0 0 100 460 
2.048 0.0149 0.0145 -0.0042 -0.0001 0.002591 -0.015949 -1.3223 0 2.0109 0  534 788 898 923 906 817 766 615  1 1 0 0 0 0 0 0 0 100 450 
2.051 0.0133 0.0133 -0.0042 -0.0001 0.002591 -0.015981 -1.3223 0 2.0109 0  568 816 912 928 904 810 757 619  1 1 0 0 0 0 0 0 0 100 450 
2.054 0.0120 0.0120 -0.0042 -0.0001 0.002591 -0.016124 -1.3223 0 2.0109 0  568 811 913 925 919 805 757 602  1 1 0 0 0 0 0 0 0 100 450 
2.057 0.0112 0.0108 -0.0042 -0.0001 0.002591 -0.015867 -1.3223 0 2.0109 0  568 827 914 928 888 809 758 588  1 1 0 0 0 0 0 0 0 100 450 
2.060 0.0100 0.0100 -0.0042 -0.0001 0.002591 -0.015516 -1.3223 0 2.0109 0  564 814 916 925 905 808 761 603  1 1 0 0 0 0 0 0 0 100 450 
2.063 0.0096 0.0092 -0.0042 -0.0001 0.002591 -0.015266 -1.3223 0 2.0109 0  568 816 916 928 906 812 760 605  1 1 0 0 0 0 0 0 0 100 450 
2.066 0.0088 0.0088 -0.0042 -0.0001 0.002591 -0.015026 -1.3223 0 2.0109 0  567 817 914 924 906 811 759 615  1 1 0 0 0 0 0 0 0 100 450 
2.069 0.0080 0.0080 -0.0042 -0.0001 0.002591 -0.014775 -1.3223 0 2.0109 0  571 816 916 926 909 808 761 602  1 1 0 0 0 0 0 0 0 100 450 
2.072 0.0076 0.0076 -0.0042 -0.0001 0.002591 -0.014758 -1.3223 0 2.0109 0  569 811 917 931 914 808 762 603  1 1 0 0 0 0 0 0 0 100 440 
2.075 0.0072 0.0072 -0.0042 -0.0001 0.002591 -0.014833 -1.3223 0 2.0109 0  567 813 923 930 907 811 758 623  1 1 0 0 0 0 0 0 0 100 440 
2.078 0.0068 0.0068 -0.0042 -0.0001 0.002591 -0.014904 -1.3223 0 2.0109 0  573 810 930 931 896 799 765 592  1 1 0 0 0 0 0 0 0 100 450 
2.081 0.0064 0.0064 -0.0042 -0.0001 0.002591 -0.015059 -1.3223 0 2.0109 0  570 811 930 934 925 816 762 619  1 1 0 0 0 0 0 0 0 100 450 
2.084 -0.0064 0.0060 -0.0044 -0.0001 0.005182 -0.015149 -1.3223 0 2.0109 0  572 840 923 931 925 821 763 630  1 1 0 0 0 0 0 0 0 100 460 
2.087 -0.0064 -0.0060 -0.0046 -0.0001 0.002591 -0.015169 -1.3223 0 2.0109 0  563 813 916 929 896 809 763 590  1 1 0 0 0 0 0 0 0 100 460 
2.090 -0.0719 -0.0060 -0.0048 -0.0001 0.005182 -0.015094 -1.3223 0 2.0109 0  569 816 920 926 905 813 760 616  1 1 0 0 0 0 0 0 0 100 460 
2.093 -0.0719 -0.0811 -0.0050 -0.0001 0.002591 -0.014911 -1.3223 0 2.0109 0  575 815 951 932 906 815 765 584  1 1 0 0 0 0 0 0 0 100 450 
2.096 -0.0956 -0.1064 -0.0054 -0.0001 0.002591 -0.014751 -1.3223 0 2.0109 0  573 817 936 933 909 820 761 605  1 1 0 0 0 0 0 0 0 100 460 
2.099 -0.0707 -0.0948 -0.0054 -0.0001 0.002591 -0.014048 -1.3223 0 2.0109 0  573 815 915 934 910 818 760 619  1 1 0 0 0 0 0 0 0 100 460 
2.102 -0.0619 -0.0655 -0.0058 -0.0001 0.002591 -0.012446 -1.3223 0 2.0109 0  575 821 909 938 931 823 763 619  1 1 0 0 0 0 0 0 0 100 450 
2.105 -0.0619 -0.0655 -0.0058 -0.0001 0.002591 -0.010197 -1.3223 0 2.0109 0  574 825 929 939 916 815 770 614  1 1 0 0 0 0 0 0 0 100 460 
2.108 -0.0490 -0.0562 -0.0058 -0.0001 0.002591 -0.008228 -1.3223 0 2.0109 0  580 827 921 948 924 824 770 620  1 1 0 0 0 0 0 0 0 100 460 
2.111 -0.0357 -0.0398 -0.0058 -0.0001 0.002591 -0.006763 -1.3223 0 2.0109 0  585 837 945 951 925 825 776 627  1 1 0 0 0 0 0 0 0 100 440 
2.114 -0.0281 -0.0305 -0.0058 -0.0001 0.002591 -0.005009 -1.3223 0 2.0109 0  581 839 915 955 929 834 786 606  1 1 0 0 0 0 0 0 0 100 450 
2.117 -0.0233 -0.0249 -0.0058 -0.0001 0.002591 -0.003301 -1.3223 0 2.0109 0  588 848 951 961 954 857 784 650  1 1 0 0 0 0 0 0 0 100 440 
2.120 -0.0197 -0.0209 -0.0058 -0.0001 0.002591 -0.002101 -1.3223 0 2.0109 0  585 852 989 959 947 841 788 615  1 1 0 0 0 0 0 0 0 100 450 
2.123 -0.0173 -0.0181 -0.0058 -0.0001 0.002591 -0.000856 -1.3223 0 2.0109 0  586 858 969 965 959 835 787 643  1 1 0 0 0 0 0 0 0 100 460 
2.126 -0.0165 -0.0177 -0.0062 -0.0001 0.002591 0.000293 -1.3223 0 2.0109 0  600 859 935 969 946 821 790 632  1 1 0 0 0 0 0 0 0 100 450 
2.129 -0.1125 -0.0984 -0.0066 -0.0001 0.002591 0.001175 -1.3223 0 2.0109 0  600 854 975 972 943 805 792 616  1 1 0 0 0 0 0 0 0 100 450 
2.132 -0.1590 -0.1301 -0.0070 -0.0001 0.002591 0.002034 -1.3223 0 2.0109 0  596 863 975 971 946 846 792 623  1 1 0 0 0 0 0 0 0 100 450 
2.135 -0.1161 -0.1189 -0.0074 -0.0001 0.002591 0.002668 -1.3223 0 2.0109 0  603 861 961 979 944 837 793 635  1 1 0 0 0 0 0 0 0 100 450 
2.138 -0.0904 -0.0968 -0.0074 -0.0001 0.002591 0.004628 -1.3223 0 2.0109 0  606 865 966 982 956 855 800 641  1 1 0 0 0 0 0 0 0 100 470 
2.141 -0.0538 -0.0767 -0.0076 -0.0001 0.000000 0.007874 -1.3223 0 2.0109 0  615 878 989 989 959 864 805 647  1 1 0 0 0 0 0 0 0 100 420 
2.144 -0.0382 -0.0767 -0.0076 -0.0001 0.000000 0.010950 -1.3223 0 2.0109 0  618 883 990 993 969 856 811 650  1 1 0 0 0 0 0 0 0 100 420 
2.147 -0.0329 -0.0506 -0.0078 -0.0001 0.002591 0.013227 -1.3223 0 2.0109 0  624 889 1020 1006 977 853 814 659  1 1 0 0 0 0 0 0 0 100 450 
2.150 -0.0329 -0.0365 -0.0078 -0.0001 0.002591 0.015609 -1.3223 0 2.0109 0  616 891 990 1016 976 862 821 663  1 1 0 0 0 0 0 0 0 100 450 
2.153 -0.0329 -0.0285 -0.0078 -0.0001 0.002591 0.018454 -1.3223 0 2.0109 0  641 899 1007 1021 982 868 824 668  1 1 0 0 0 0 0 0 0 100 450 
2.156 -0.0462 -0.0245 -0.0082 -0.0001 0.002591 0.020917 -1.3223 0 2.0109 0  615 907 1012 1020 988 887 825 670  1 1 0 0 0 0 0 0 0 100 460 
2.159 -0.0462 -0.0245 -0.0082 -0.0001 0.002591 0.022881 -1.3223 0 2.0109 0  640 913 1021 1033 996 881 831 675  1 1 0 0 0 0 0 0 0 100 450 
2.162 -0.0771 -0.0623 -0.0086 -0.0001 0.002591 0.025182 -1.3223 0 2.0109 0  645 919 1035 1036 998 899 832 679  1 1 0 0 0 0 0 0 0 100 460 
2.165 -0.0803 -0.0623 -0.0088 -0.0001 0.005182 0.027308 -1.3223 0 2.0109 0  649 922 1023 1043 1007 905 835 682  1 1 0 0 0 0 0 0 0 100 460 
2.168 -0.0803 -0.0948 -0.0090 -0.0001 0.002591 0.029219 -1.3223 0 2.0109 0  665 932 1050 1055 1014 911 838 693  1 1 0 0 0 0 0 0 0 100 450 
2.171 -0.0687 -0.1205 -0.0094 -0.0001 0.002591 0.031147 -1.3223 0 2.0109 0  662 933 1062 1052 1013 888 846 689  1 1 0 0 0 0 0 0 0 100 450 
2.174 -0.1161 -0.1253 -0.0098 -0.0001 0.002591 0.032797 -1.3223 0 2.0109 0  663 936 1066 1057 1019 873 846 690  1 1 0 0 0 0 0 0 0 100 450 
2.177 -0.1161 -0.1261 -0.0100 -0.0001 0.000000 0.034325 -1.3223 0 2.0109 0  655 943 1054 1063 1022 867 853 693  1 1 0 0 0 0 0 0 0 100 430 
