%% logfile from robot Karla (10)
% Karla (10)
%  1    time 2.002 sec
%  2  3  4  5   (mission 0), state 2, entered (thread 1, line 1), events 0x0 (bit-flags)
%  6  7 Wheel velocity [m/s] left, right: 0.0430 0.0434
%  8  9 10 11 Pose x,y,h,tilt [m,m,rad,rad]: 0.0234557 0.00259583 0.00259112 0.0357512
% 12 .. 32 Edge sensor: left -2.983517 0, right -0.952187 0, values 562 796 903 911 886 805 771 639, white 1, used 1, LEDhigh=0, xb=0 xw=0 xbc=0 xwc=0 lvl=0 lvr=0       whitelevel=[884 1280 1410 1427 1392 1268 1229 999]       blacklevel=[119 163 174 182 180 171 150 124]
% 12 13 Get data time [us]: 100 +ctrl 460
2.007 2 1 1 0 0.0430 0.0281 0.0235 0.0026 0.002591 0.034926 -2.9835 0 -0.9522 0  559 806 906 907 884 806 771 587  1 1 0 0 0 0 0 0 0 100 450 
2.012 2 1 1 0 0.0614 0.0237 0.0239 0.0026 0.002591 0.033639 -2.9835 0 -0.9522 0  565 796 904 909 886 801 769 648  1 1 0 0 0 0 0 0 0 100 440 
2.017 2 1 1 0 0.0470 0.0237 0.0239 0.0026 0.002591 0.032796 -2.9835 0 -0.9522 0  556 813 894 909 884 802 769 591  1 1 0 0 0 0 0 0 0 100 450 
2.022 2 1 1 0 0.0398 0.0458 0.0243 0.0026 0.002591 0.031944 -2.9835 0 -0.9522 0  562 802 897 908 853 804 767 594  1 1 0 0 0 0 0 0 0 100 450 
2.027 2 1 1 0 0.0582 0.0458 0.0245 0.0026 0.000000 0.030917 -2.9835 0 -0.9522 0  558 800 927 905 871 797 764 637  1 1 0 0 0 0 0 0 0 100 420 
2.032 2 1 1 0 0.0582 0.0293 0.0245 0.0026 0.000000 0.029625 -2.9835 0 -0.9522 0  548 795 901 906 884 791 766 635  1 1 0 0 0 0 0 0 0 100 420 
2.037 2 1 1 0 0.0534 0.0261 0.0249 0.0026 0.000000 0.028466 -2.9835 0 -0.9522 0  560 803 883 900 880 809 762 629  1 1 0 0 0 0 0 0 0 100 420 
2.042 2 1 1 0 0.0546 0.0498 0.0253 0.0026 0.000000 0.027952 -2.9835 0 -0.9522 0  559 796 873 906 880 775 762 598  1 1 0 0 0 0 0 0 0 100 460 
2.047 2 1 1 0 0.0546 0.0498 0.0253 0.0026 0.000000 0.027137 -2.9835 0 -0.9522 0  551 797 877 898 873 811 760 614  1 1 0 0 0 0 0 0 0 100 430 
2.052 2 1 1 0 0.0526 0.0386 0.0255 0.0026 -0.002591 0.025963 -2.9835 0 -0.9522 0  554 797 902 901 873 805 763 607  1 1 0 0 0 0 0 0 0 100 450 
2.057 2 1 1 0 0.0482 0.0261 0.0257 0.0026 -0.005182 0.025142 -2.9835 0 -0.9522 0  552 795 890 899 869 793 758 603  1 1 0 0 0 0 0 0 0 100 460 
2.062 2 1 1 0 0.0482 0.0205 0.0259 0.0026 -0.002591 0.025196 -2.9835 0 -0.9522 0  554 799 888 902 870 782 758 596  1 1 0 0 0 0 0 0 0 100 470 
2.067 2 1 1 0 0.0558 0.0205 0.0261 0.0026 -0.005182 0.025273 -2.9835 0 -0.9522 0  560 804 906 902 874 786 762 603  1 1 0 0 0 0 0 0 0 100 450 
2.072 2 1 1 0 0.0546 0.0482 0.0265 0.0026 -0.005182 0.025000 -2.9835 0 -0.9522 0  550 793 896 902 874 787 759 608  1 1 0 0 0 0 0 0 0 100 450 
2.077 2 1 1 0 0.0546 0.0482 0.0265 0.0026 -0.005182 0.024169 -2.9835 0 -0.9522 0  552 803 904 899 865 810 755 608  1 1 0 0 0 0 0 0 0 100 450 
2.082 2 1 1 0 0.0353 0.0317 0.0265 0.0026 -0.005182 0.023603 -2.9835 0 -0.9522 0  555 798 907 897 871 783 755 603  1 1 0 0 0 0 0 0 0 100 460 
2.087 2 1 1 0 0.0245 0.0229 0.0267 0.0026 -0.002591 0.023385 -2.9835 0 -0.9522 0  526 803 907 899 869 807 756 609  1 1 0 0 0 0 0 0 0 100 470 
2.092 2 1 1 0 0.0241 0.0229 0.0269 0.0026 -0.005182 0.023730 -2.9835 0 -0.9522 0  571 807 896 899 870 789 755 613  1 1 0 0 0 0 0 0 0 100 450 
2.097 2 1 1 0 0.0558 0.0574 0.0273 0.0026 -0.005182 0.024161 -2.9835 0 -0.9522 0  556 806 909 900 866 796 762 612  1 1 0 0 0 0 0 0 0 100 450 
2.102 2 1 1 0 0.1024 0.0490 0.0275 0.0026 -0.007773 0.024416 -2.9835 0 -0.9522 0  527 803 896 903 865 812 759 612  1 1 0 0 0 0 0 0 0 100 450 
2.107 2 1 1 0 0.0466 0.0301 0.0275 0.0026 -0.007773 0.023243 -2.9835 0 -0.9522 0  564 804 920 898 864 771 755 610  1 1 0 0 0 0 0 0 0 100 450 
2.112 2 1 1 0 0.0329 0.0249 0.0279 0.0026 -0.007773 0.022428 -2.9835 0 -0.9522 0  567 812 891 901 864 780 757 607  1 1 0 0 0 0 0 0 0 100 450 
2.117 2 1 1 0 0.0329 0.0249 0.0279 0.0026 -0.007773 0.022987 -2.9835 0 -0.9522 0  564 802 889 901 865 783 763 610  1 1 0 0 0 0 0 0 0 100 460 
2.122 2 1 1 0 0.0329 0.0482 0.0281 0.0026 -0.005182 0.023121 -2.9835 0 -0.9522 0  560 806 911 900 863 784 753 614  1 1 0 0 0 0 0 0 0 100 450 
2.127 2 1 1 0 0.0241 0.0450 0.0281 0.0026 -0.005182 0.023581 -2.9835 0 -0.9522 0  568 809 909 886 867 782 759 609  1 1 0 0 0 0 0 0 0 100 450 
2.132 2 1 1 0 0.0185 0.0289 0.0281 0.0026 -0.005182 0.024123 -2.9835 0 -0.9522 0  589 810 911 901 865 772 760 615  1 1 0 0 0 0 0 0 0 100 460 
2.137 2 1 1 0 0.0149 0.0229 0.0283 0.0026 -0.002591 0.025394 -2.9835 0 -0.9522 0  525 818 894 909 873 780 766 616  1 1 0 0 0 0 0 0 0 100 450 
2.142 2 1 1 0 0.0964 0.0229 0.0287 0.0026 -0.007773 0.027115 -2.9835 0 -0.9522 0  563 817 911 903 872 794 770 617  1 1 0 0 0 0 0 0 0 100 470 
2.147 2 1 1 0 0.1269 0.0378 0.0291 0.0026 -0.007773 0.028811 -2.9835 0 -0.9522 0  536 823 915 902 875 795 769 619  1 1 0 0 0 0 0 0 0 100 460 
2.152 2 1 1 0 0.0578 0.0378 0.0291 0.0026 -0.007773 0.028907 -2.9835 0 -0.9522 0  570 827 914 930 877 798 768 620  1 1 0 0 0 0 0 0 0 100 460 
