%% logfile from robot Karla (10)
% Karla (10)
%  1    time 2.007 sec
%  2  3  4  5   (mission 0), state 2, entered (thread 1, line 1), events 0x0 (bit-flags)
%  6  7  8 Gyro x,y,z [deg/s]: 1.0376 5.67627 -6.98853
%  9 10 Wheel velocity [m/s] left, right: -0.0116 -0.0112
% 11 12 13 14 Pose x,y,h,tilt [m,m,rad,rad]: -0.00742998 -0.000129301 -0.00259112 0.00280174
% 15 .. 35 Edge sensor: left -4.180000 0, right -2.068738 0, values 585 831 893 902 867 780 734 580, white 1, used 1, LEDhigh=0, xb=0 xw=0 xbc=0 xwc=0 lvl=0 lvr=0       whitelevel=[884 1280 1410 1427 1392 1268 1229 999]       blacklevel=[119 163 174 182 180 171 150 124]
% 15 16 Get data time [us]: 100 +ctrl 480
2.014 2 1 1 0 -1.403809 9.765625 -6.195068 -0.0096 -0.0092 -0.0074 -0.0001 -0.002591 0.001680 -4.1800 0 -2.0687 0  586 831 953 898 857 782 730 595  1 1 0 0 0 0 0 0 0 100 480 
2.021 2 1 1 0 0.213623 8.911133 -3.936768 -0.0691 -0.0707 -0.0082 -0.0001 -0.002591 0.000304 -4.1800 0 -2.0687 0  583 828 902 898 866 775 731 579  1 1 0 0 0 0 0 0 0 100 470 
2.028 2 1 1 0 -2.075195 -12.847900 11.413574 -0.0916 -0.0482 -0.0084 -0.0001 0.000000 0.000112 -4.1800 0 -2.0687 0  590 826 896 906 865 765 732 582  1 1 0 0 0 0 0 0 0 100 450 
2.035 2 1 1 0 4.028320 -27.038574 -4.058838 -0.0349 -0.0261 -0.0084 -0.0001 0.000000 0.004605 -4.1800 0 -2.0687 0  596 833 907 905 875 784 733 582  1 1 0 0 0 0 0 0 0 100 440 
2.042 2 1 1 0 -1.586914 -19.805908 2.288818 -0.0217 -0.0177 -0.0084 -0.0001 0.000000 0.006785 -4.1800 0 -2.0687 0  597 844 918 910 877 784 741 586  1 1 0 0 0 0 0 0 0 100 440 
2.049 2 1 1 0 -1.220703 -13.275146 -3.448486 -0.0157 -0.0137 -0.0084 -0.0001 0.000000 0.008900 -4.1800 0 -2.0687 0  600 841 923 920 882 788 749 589  1 1 0 0 0 0 0 0 0 100 440 
2.056 2 1 1 0 2.288818 -8.209229 -2.319336 -0.0120 -0.0108 -0.0084 -0.0001 0.000000 0.009992 -4.1800 0 -2.0687 0  622 847 926 922 883 798 750 591  1 1 0 0 0 0 0 0 0 100 440 
2.063 2 1 1 0 -3.448486 -0.976562 -4.119873 -0.0100 -0.0092 -0.0086 -0.0001 -0.002591 0.010521 -4.1800 0 -2.0687 0  619 848 927 916 891 800 747 593  1 1 0 0 0 0 0 0 0 100 460 
2.070 2 1 1 0 1.098633 4.943848 -6.408691 -0.0088 -0.0578 -0.0090 -0.0001 -0.002591 0.010043 -4.1800 0 -2.0687 0  596 851 928 930 885 779 750 587  1 1 0 0 0 0 0 0 0 100 470 
2.077 2 1 1 0 -1.037598 8.026123 -5.645752 -0.1181 -0.0791 -0.0096 -0.0001 0.000000 0.008999 -4.1800 0 -2.0687 0  615 846 922 929 885 798 760 590  1 1 0 0 0 0 0 0 0 100 470 
2.084 2 1 1 0 -4.272461 -11.108398 8.880615 -0.0779 -0.0398 -0.0100 -0.0001 0.005182 0.008626 -4.1800 0 -2.0687 0  606 839 921 923 886 797 745 587  1 1 0 0 0 0 0 0 0 100 490 
2.091 2 1 1 0 3.906250 -32.867432 -4.058838 0.0739 -0.0394 -0.0100 -0.0001 0.000000 0.013358 -4.1800 0 -2.0687 0  649 851 934 943 895 796 766 598  1 1 0 0 0 0 0 0 0 100 440 
2.098 2 1 1 0 -0.305176 -27.709961 2.960205 0.0466 -0.0285 -0.0100 -0.0001 0.000000 0.016376 -4.1800 0 -2.0687 0  577 863 946 948 902 811 766 603  1 1 0 0 0 0 0 0 0 100 440 
