%% logfile from robot Silke (54)
% log is empty
% Silke (54)
%  1    time 2.003 sec
%  2  3  4  5   (mission 0), state 2, entered (thread 1, line 1), events 0x0 (bit-flags)
%  6  7  8 Gyro x,y,z [deg/s]: 0.0305176 -2.2583 2.2583
%  9 10 Motor velocity ref left, right: 0.0338 0.0342
% 11 12 Wheel velocity [m/s] left, right: 0.0181 0.0125
% 13 14 15 16 Pose x,y,h,tilt [m,m,rad,rad]: 0.0355435 -3.92846e-05 0.00259112 -0.0107826
% 17 .. 37 Edge sensor: left 0.000000 0, right 0.000000 0, values 553 609 699 694 703 717 729 564, white 1, used 1, LEDhigh=0, xb=0 xw=0 xbc=0 xwc=0 lvl=0 lvr=0       whitelevel=[923 1039 1179 1162 1189 1192 1201 920]       blacklevel=[132 155 174 173 174 176 174 137]
2.008 2 1 1 0 0.244141 -4.028320 2.014160 0.0274 0.0154 0.0149 0.0125 0.0355 -0.0000 0.002591 -0.010475 0.0000 0 0.0000 0  546 613 697 691 708 717 731 562  1 1 0 0 0 0 0 0 0 
2.013 2 1 1 0 0.183105 -1.892090 -4.241943 0.0129 -0.0091 0.0125 0.0125 0.0355 -0.0000 0.002591 -0.010094 0.0000 0 0.0000 0  545 609 702 694 701 714 731 567  1 1 0 0 0 0 0 0 0 
2.018 2 1 1 0 0.946045 -3.173828 -1.647949 0.0037 -0.0180 0.0108 0.0125 0.0355 -0.0000 0.002591 -0.009756 0.0000 0 0.0000 0  547 625 699 692 713 715 727 563  1 1 0 0 0 0 0 0 0 
2.023 2 1 1 0 -1.739502 -7.598877 -2.746582 0.0005 -0.0188 0.0092 0.0125 0.0355 -0.0000 0.002591 -0.009141 0.0000 0 0.0000 0  544 621 705 693 721 717 730 561  1 1 0 0 0 0 0 0 0 
2.028 2 1 1 0 0.396729 -8.392334 -1.251221 -0.0101 -0.0240 0.0084 -0.0157 0.0353 -0.0000 0.000000 -0.008487 0.0000 0 0.0000 0  552 612 702 698 709 718 734 571  1 1 0 0 0 0 0 0 0 
2.033 2 1 1 0 0.091553 -7.598877 -0.915527 -0.0307 -0.0246 0.0076 -0.0157 0.0353 -0.0000 0.000000 -0.007764 0.0000 0 0.0000 0  549 613 705 697 704 721 738 565  1 1 0 0 0 0 0 0 0 
2.038 2 1 1 0 -0.518799 -8.514404 -0.457764 -0.0375 -0.0266 0.0068 -0.0157 0.0353 -0.0000 0.000000 -0.007032 0.0000 0 0.0000 0  548 618 701 701 724 715 735 579  1 1 0 0 0 0 0 0 0 
2.043 2 1 1 0 0.000000 -7.293701 -0.061035 -0.0458 -0.0381 0.0064 -0.0157 0.0353 -0.0000 0.000000 -0.006440 0.0000 0 0.0000 0  555 627 719 700 700 720 736 560  1 1 0 0 0 0 0 0 0 
2.048 2 1 1 0 0.091553 -6.652832 -0.518799 -0.0522 -0.0541 -0.0060 -0.0157 0.0351 -0.0000 0.002591 -0.005803 0.0000 0 0.0000 0  551 609 709 703 683 724 734 553  1 1 0 0 0 0 0 0 0 
2.053 2 1 1 0 0.335693 -4.974365 0.244141 -0.0648 -0.0788 -0.0627 -0.0157 0.0349 -0.0000 0.005182 -0.005403 0.0000 0 0.0000 0  557 609 704 705 727 720 737 577  1 1 0 0 0 0 0 0 0 
