%% logfile from robot Silke (54)
% Silke (54)
%  1    time 2.010 sec
%  2  3  4  5   (mission 0), state 2, entered (thread 1, line 1), events 0x0 (bit-flags)
%  6  7  8 Gyro x,y,z [deg/s]: -0.0305176 -6.22559 0.0305176
%  9 10 Motor velocity ref left, right: -0.0044 -0.0190
% 11 12 Wheel velocity [m/s] left, right: -0.0028 -0.0229
% 13 14 15 16 Pose x,y,h,tilt [m,m,rad,rad]: 0.0202819 2.83578e-05 0.00259112 0.00687665
% 17 .. 37 Edge sensor: left -4.180000 0, right -0.200014 0, values 529 594 677 662 666 691 693 556, white 1, used 1, LEDhigh=0, xb=0 xw=0 xbc=0 xwc=0 lvl=0 lvr=0       whitelevel=[923 1039 1179 1162 1189 1192 1201 920]       blacklevel=[132 155 174 173 174 176 174 137]
2.020 2 1 1 0 -0.122070 -6.561279 -0.213623 -0.0192 -0.0295 -0.0024 -0.0173 0.0203 0.0000 0.002591 0.007887 -4.1800 0 -0.2000 0  527 598 673 668 674 683 692 533  1 1 0 0 0 0 0 0 0 
2.030 2 1 1 0 -0.152588 -7.019043 0.091553 -0.0292 -0.0560 -0.0024 0.0157 0.0205 0.0000 0.005182 0.008937 -4.1800 0 -0.2000 0  533 584 673 669 654 688 693 530  1 1 0 0 0 0 0 0 0 
2.040 2 1 1 0 -0.183105 -7.568359 0.122070 -0.0431 -0.0618 -0.0024 -0.0357 0.0203 0.0000 0.002591 0.010091 -4.1800 0 -0.2000 0  531 602 704 669 674 693 698 544  1 1 0 0 0 0 0 0 0 
2.050 2 1 1 0 -0.457764 -12.023926 -2.838135 -0.0475 -0.0622 -0.0020 -0.0374 0.0199 0.0000 0.002591 0.011775 -4.1800 0 -0.2000 0  531 600 670 671 656 688 700 542  1 1 0 0 0 0 0 0 0 
2.060 2 1 1 0 -1.281738 -17.456055 -8.483887 -0.0459 -0.0505 -0.0020 -0.0261 0.0197 0.0000 0.000000 0.014834 -4.1800 0 -0.2000 0  543 605 681 675 685 707 708 541  1 1 0 0 0 0 0 0 0 
2.070 2 1 1 0 -1.464844 -17.395020 -10.253906 -0.0515 -0.0642 -0.0193 -0.0261 0.0195 0.0000 0.002591 0.017779 -4.1800 0 -0.2000 0  546 606 699 680 685 691 711 560  1 1 0 0 0 0 0 0 0 
2.080 2 1 1 0 -1.525879 -18.249512 -10.986328 -0.0552 -0.0768 -0.0245 -0.0197 0.0193 0.0000 0.005182 0.020650 -4.1800 0 -0.2000 0  546 610 704 684 688 687 713 569  1 1 0 0 0 0 0 0 0 
2.090 2 1 1 0 -0.427246 -31.433105 1.159668 -0.0333 -0.0449 -0.0245 -0.0193 0.0191 0.0000 0.002591 0.024713 -4.1800 0 -0.2000 0  557 618 694 691 693 709 723 552  1 1 0 0 0 0 0 0 0 
2.100 2 1 1 0 -0.762939 -31.402588 1.770020 -0.0245 -0.0381 -0.0173 -0.0193 0.0191 0.0000 0.002591 0.029894 -4.1800 0 -0.2000 0  559 623 713 700 704 718 731 557  1 1 0 0 0 0 0 0 0 
2.110 2 1 1 0 0.885010 -29.418945 1.831055 -0.0166 -0.0315 -0.0120 -0.0133 0.0191 0.0000 0.002591 0.034774 -4.1800 0 -0.2000 0  567 636 718 709 713 726 739 563  1 1 0 0 0 0 0 0 0 
2.120 2 1 1 0 -0.976562 -29.235840 1.678467 -0.0034 -0.0192 -0.0092 -0.0100 0.0191 0.0000 0.002591 0.039693 -4.1800 0 -0.2000 0  569 641 729 717 721 709 748 570  1 1 0 0 0 0 0 0 0 
2.130 2 1 1 0 -0.091553 -28.686523 2.593994 0.0109 -0.0056 -0.0072 -0.0080 0.0191 0.0000 0.002591 0.044441 -4.1800 0 -0.2000 0  589 650 736 730 728 745 765 579  1 1 0 0 0 0 0 0 0 
2.140 2 1 1 0 0.030518 -24.444580 1.708984 0.0198 0.0029 -0.0060 -0.0064 0.0191 0.0000 0.002591 0.048719 -4.1800 0 -0.2000 0  583 660 749 734 733 753 766 580  1 1 0 0 0 0 0 0 0 
2.150 2 1 1 0 -0.701904 -23.254395 2.593994 0.0325 0.0153 -0.0052 -0.0056 0.0191 0.0000 0.002591 0.052391 -4.1800 0 -0.2000 0  599 665 753 742 741 754 775 593  1 1 0 0 0 0 0 0 0 
2.160 2 1 1 0 -0.030518 -22.003174 1.586914 0.0457 0.0282 -0.0048 -0.0048 0.0191 0.0000 0.002591 0.055851 -4.1800 0 -0.2000 0  596 669 752 750 744 776 785 596  1 1 0 0 0 0 0 0 0 
