%% logfile from robot Silke (54)
% Silke (54)
%  1    time 2.017 sec
%  2  3  4  5   (mission 0), state 2, entered (thread 1, line 1), events 0x0 (bit-flags)
%  6  7  8 Gyro x,y,z [deg/s]: 0.671387 -0.305176 12.146
%  9 10 Motor velocity ref left, right: 0.0242 0.0174
% 11 12 Wheel velocity [m/s] left, right: 0.0257 -0.0177
% 13 14 15 16 Pose x,y,h,tilt [m,m,rad,rad]: -0.0180718 -0.000191476 -0.00518225 -0.00867923
% 17 .. 37 Edge sensor: left 0.976893 0, right 4.180000 0, values 614 678 779 760 740 730 725 550, white 1, used 1, LEDhigh=0, xb=0 xw=0 xbc=0 xwc=0 lvl=0 lvr=0       whitelevel=[923 1039 1179 1162 1189 1192 1201 920]       blacklevel=[132 155 174 173 174 176 174 137]
2.037 2 1 1 0 0.579834 -5.615234 6.011963 -0.0001 0.0009 0.0112 -0.0149 -0.0181 -0.0002 -0.005182 -0.006824 0.9769 0 4.1800 0  608 683 781 761 745 730 723 553  1 1 0 0 0 0 0 0 0 
2.057 2 1 1 0 -0.396729 -7.995605 -2.532959 -0.0298 -0.0355 0.0068 -0.0084 -0.0181 -0.0002 -0.005182 -0.003583 0.9769 0 4.1800 0  611 692 778 766 748 723 729 558  1 1 0 0 0 0 0 0 0 
2.077 2 1 1 0 -0.335693 -5.889893 -2.899170 -0.0778 -0.0855 -0.0687 -0.0751 -0.0189 -0.0002 -0.005182 -0.001027 0.9769 0 4.1800 0  617 696 794 772 751 750 732 560  1 1 0 0 0 0 0 0 0 
2.097 2 1 1 0 -1.678467 -23.956299 -2.349854 -0.0851 -0.0955 -0.0337 -0.0289 -0.0199 -0.0002 -0.002591 0.004853 0.9769 0 4.1800 0  628 703 804 786 762 748 750 564  1 1 0 0 0 0 0 0 0 
2.117 2 1 1 0 1.312256 -45.715332 7.690430 -0.0581 -0.0645 -0.0598 -0.0803 -0.0209 -0.0002 -0.005182 0.015265 0.9769 0 4.1800 0  641 720 803 807 784 773 767 584  1 1 0 0 0 0 0 0 0 
2.137 2 1 1 0 0.335693 -43.212891 7.019043 -0.0261 -0.0312 -0.0169 -0.0165 -0.0209 -0.0002 -0.005182 0.030809 0.9769 0 4.1800 0  661 747 853 829 809 804 798 607  1 1 0 0 0 0 0 0 0 
2.157 2 1 1 0 -0.793457 -26.702881 2.044678 -0.0357 -0.0167 -0.0092 -0.0337 -0.0213 -0.0002 -0.010364 0.042451 0.9769 0 4.1800 0  673 759 874 851 831 825 820 629  1 1 0 0 0 0 0 0 0 
2.177 2 1 1 0 0.518799 -19.348145 6.378174 -0.0394 -0.0124 -0.0313 -0.0402 -0.0221 -0.0002 -0.010364 0.048800 0.9769 0 4.1800 0  685 780 885 869 845 837 840 646  1 1 0 0 0 0 0 0 0 
2.197 2 1 1 0 1.007080 -24.047852 5.096436 0.0177 0.0162 -0.0229 -0.0133 -0.0223 -0.0002 -0.007773 0.056114 0.9769 0 4.1800 0  687 793 896 875 863 854 851 652  1 1 0 0 0 0 0 0 0 
2.217 2 1 1 0 -0.823975 -20.782471 -4.333496 0.0498 0.0552 0.0120 -0.0080 -0.0221 -0.0002 -0.010364 0.063338 0.9769 0 4.1800 0  698 801 915 901 877 864 886 665  1 1 0 0 0 0 0 0 0 
2.237 2 1 1 0 -2.197266 -15.930176 -6.591797 0.0806 0.0968 0.0237 0.0064 -0.0217 -0.0002 -0.010364 0.068980 0.9769 0 4.1800 0  728 794 925 897 894 878 865 678  1 1 0 0 0 0 0 0 0 
2.257 2 1 1 0 -1.525879 -3.723145 -5.767822 0.1047 0.1214 0.0321 0.0470 -0.0209 -0.0002 -0.010364 0.071952 0.9769 0 4.1800 0  716 836 941 906 897 887 893 679  1 1 0 0 0 0 0 0 0 
2.277 2 1 1 0 -2.136230 6.164551 -9.216309 0.1434 0.1358 0.0675 0.0735 -0.0193 -0.0002 -0.005182 0.070551 0.9769 0 4.1800 0  717 811 942 913 890 884 899 682  1 1 0 0 0 0 0 0 0 
2.297 2 1 1 0 -1.556396 6.866455 -3.326416 0.1803 0.1677 0.1229 0.1374 -0.0173 -0.0002 -0.005182 0.066970 0.9769 0 4.1800 0  730 851 937 913 903 874 871 681  1 1 0 0 0 0 0 0 0 
